PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"20, 5, 45","+2,918.50 USD",+0.29%,"1,130.50 USD",0.11%,43,32.56%,2.557,0,,0
"20, 5, 55","+2,539.00 USD",+0.25%,"1,698.50 USD",0.17%,46,30.43%,2.065,0,,0
"20, 5, 65","+1,013.00 USD",+0.10%,"2,487.50 USD",0.25%,51,25.49%,1.273,0,,0
"20, 5, 75",+950.00 USD,+0.10%,"2,709.50 USD",0.27%,54,27.78%,1.237,0,,0
"20, 5, 85","+2,022.50 USD",+0.20%,"1,977.00 USD",0.20%,61,29.51%,1.417,0,,0
"20, 5, 95","+2,105.00 USD",+0.21%,"1,053.50 USD",0.11%,69,27.54%,1.415,0,,0
"20, 5.5, 105","−1,317.50 USD",−0.13%,"3,942.00 USD",0.39%,80,26.25%,0.829,0,,0
"20, 5.5, 115","+2,866.00 USD",+0.29%,"1,865.50 USD",0.19%,82,29.27%,1.478,0,,0
"20, 5.5, 125","+2,182.00 USD",+0.22%,"2,140.00 USD",0.21%,60,30.00%,1.44,0,,0
"20, 5.5, 135","+1,875.50 USD",+0.19%,"2,048.00 USD",0.20%,61,29.51%,1.334,0,,0
"20, 5.5, 145","+1,420.50 USD",+0.14%,"2,152.50 USD",0.21%,63,26.98%,1.243,0,,0
"20, 5.5, 25","−5,480.50 USD",−0.55%,"6,300.00 USD",0.63%,19,31.58%,0.274,0,,0
"20, 5.5, 35","−2,611.50 USD",−0.26%,"3,396.00 USD",0.34%,31,25.81%,0.244,0,,0
"20, 5.5, 45","−3,820.00 USD",−0.38%,"4,060.50 USD",0.41%,41,24.39%,0.186,0,,0
"20, 5.5, 55","−3,964.00 USD",−0.40%,"4,174.00 USD",0.42%,58,24.14%,0.37,0,,0
"20, 5.5, 65","−2,235.00 USD",−0.22%,"4,788.50 USD",0.48%,65,27.69%,0.694,0,,0
"20, 5.5, 75",−144.50 USD,−0.01%,"2,923.00 USD",0.29%,69,26.09%,0.974,0,,0
"20, 5.5, 85","−1,217.00 USD",−0.12%,"3,772.50 USD",0.38%,74,27.03%,0.825,0,,0
"20, 5.5, 95",−876.50 USD,−0.09%,"3,547.00 USD",0.35%,77,27.27%,0.879,0,,0
"20, 6, 105","−1,048.00 USD",−0.10%,"3,273.50 USD",0.33%,58,22.41%,0.798,0,,0
"20, 6, 115","−1,738.00 USD",−0.17%,"3,608.50 USD",0.36%,62,22.58%,0.71,0,,0
"20, 6, 125","−1,932.00 USD",−0.19%,"3,524.50 USD",0.35%,45,22.22%,0.596,0,,0
"20, 6, 135",+243.50 USD,+0.02%,"2,946.50 USD",0.29%,47,21.28%,1.025,0,,0
"20, 6, 145",−225.50 USD,−0.02%,"2,966.50 USD",0.30%,48,20.83%,0.955,0,,0
"20, 6, 25",+845.50 USD,+0.08%,"2,271.00 USD",0.23%,18,38.89%,1.516,0,,0
"20, 6, 35","+3,046.50 USD",+0.30%,"2,592.50 USD",0.26%,29,41.38%,2.302,0,,0
"20, 6, 45","+1,964.00 USD",+0.20%,"2,228.50 USD",0.22%,34,38.24%,1.726,0,,0
"20, 6, 55","−5,715.00 USD",−0.57%,"9,154.00 USD",0.92%,42,23.81%,0.402,0,,0
"20, 6, 65",+508.00 USD,+0.05%,"2,354.50 USD",0.24%,46,26.09%,1.142,0,,0
"20, 6, 75",+345.50 USD,+0.03%,"2,390.50 USD",0.24%,46,26.09%,1.095,0,,0
"20, 6, 85",−196.50 USD,−0.02%,"2,544.00 USD",0.25%,49,24.49%,0.952,0,,0
"20, 6, 95",−897.00 USD,−0.09%,"2,967.50 USD",0.30%,54,24.07%,0.811,0,,0
"20, 6.5, 105","+3,329.50 USD",+0.33%,"4,208.50 USD",0.42%,47,19.15%,1.721,0,,0
"20, 6.5, 115","+2,705.00 USD",+0.27%,"4,448.50 USD",0.44%,50,18.00%,1.518,0,,0
"20, 6.5, 125","−1,169.00 USD",−0.12%,"4,840.00 USD",0.48%,39,12.82%,0.754,0,,0
"20, 6.5, 135","−1,341.00 USD",−0.13%,"4,840.00 USD",0.48%,39,12.82%,0.723,0,,0
"20, 6.5, 145","−1,765.00 USD",−0.18%,"5,334.00 USD",0.53%,41,14.63%,0.679,0,,0
"20, 6.5, 25",+666.50 USD,+0.07%,"1,432.50 USD",0.14%,17,11.76%,2.036,0,,0
"20, 6.5, 35","+2,034.00 USD",+0.20%,"1,562.00 USD",0.16%,25,16.00%,2.598,0,,0
"20, 6.5, 45","+3,260.00 USD",+0.33%,"1,314.00 USD",0.13%,30,20.00%,3.06,0,,0
"20, 6.5, 55","+4,658.00 USD",+0.47%,"1,314.00 USD",0.13%,32,21.88%,3.751,0,,0
"20, 6.5, 65","+4,254.50 USD",+0.43%,"3,517.50 USD",0.35%,38,18.42%,2.564,0,,0
"20, 6.5, 75","+4,260.50 USD",+0.43%,"3,440.50 USD",0.34%,42,21.43%,2.433,0,,0
"20, 6.5, 85","+3,984.50 USD",+0.40%,"3,680.50 USD",0.37%,43,20.93%,2.226,0,,0
"20, 6.5, 95","+4,399.50 USD",+0.44%,"3,961.50 USD",0.39%,44,22.73%,2.226,0,,0
"20, 7, 105","−1,353.00 USD",−0.14%,"4,098.00 USD",0.41%,41,17.07%,0.746,0,,0
"20, 7, 115","−1,809.50 USD",−0.18%,"4,488.50 USD",0.45%,42,16.67%,0.697,0,,0
"20, 7, 125","−2,994.50 USD",−0.30%,"4,586.50 USD",0.46%,32,15.63%,0.368,0,,0
"20, 7, 135","−1,529.50 USD",−0.15%,"3,864.50 USD",0.39%,32,15.63%,0.678,0,,0
"20, 7, 145","−2,547.00 USD",−0.25%,"4,354.50 USD",0.44%,36,13.89%,0.556,0,,0
"20, 7, 25",−795.50 USD,−0.08%,"3,444.50 USD",0.34%,17,35.29%,0.803,0,,0
"20, 7, 35","−3,400.50 USD",−0.34%,"3,810.50 USD",0.38%,20,35.00%,0.184,0,,0
"20, 7, 45","−8,944.00 USD",−0.89%,"9,603.00 USD",0.96%,23,30.43%,0.089,0,,0
"20, 7, 55","−8,944.50 USD",−0.89%,"9,501.50 USD",0.95%,25,28.00%,0.111,0,,0
"20, 7, 65","−9,275.00 USD",−0.93%,"9,832.00 USD",0.98%,27,25.93%,0.105,0,,0
"20, 7, 75","−8,887.00 USD",−0.89%,"10,614.00 USD",1.06%,32,21.88%,0.177,0,,0
"20, 7, 85","−1,243.00 USD",−0.12%,"4,650.50 USD",0.46%,36,19.44%,0.756,0,,0
"20, 7, 95",+207.50 USD,+0.02%,"3,567.50 USD",0.36%,38,18.42%,1.043,0,,0
"20, 7.5, 105","−4,510.00 USD",−0.45%,"4,705.00 USD",0.47%,43,20.93%,0.451,0,,0
"20, 7.5, 115","−4,765.50 USD",−0.48%,"4,960.50 USD",0.50%,44,20.45%,0.438,0,,0
"20, 7.5, 125","−4,180.00 USD",−0.42%,"4,303.00 USD",0.43%,28,17.86%,0.348,0,,0
"20, 7.5, 135","−4,274.50 USD",−0.43%,"4,753.00 USD",0.48%,30,16.67%,0.333,0,,0
"20, 7.5, 145","−4,676.50 USD",−0.47%,"5,020.00 USD",0.50%,32,15.63%,0.313,0,,0
"20, 7.5, 25",+92.00 USD,+0.01%,"2,235.00 USD",0.22%,19,31.58%,1.039,0,,0
"20, 7.5, 35",−610.50 USD,−0.06%,"2,511.50 USD",0.25%,27,25.93%,0.79,0,,0
"20, 7.5, 45",−791.50 USD,−0.08%,"2,532.00 USD",0.25%,30,26.67%,0.745,0,,0
"20, 7.5, 55","−1,175.50 USD",−0.12%,"2,768.50 USD",0.28%,32,21.88%,0.662,0,,0
"20, 7.5, 65","−4,454.50 USD",−0.45%,"4,569.50 USD",0.46%,33,24.24%,0.341,0,,0
"20, 7.5, 75","−4,832.00 USD",−0.48%,"4,947.00 USD",0.49%,35,22.86%,0.323,0,,0
"20, 7.5, 85","−5,158.00 USD",−0.52%,"5,273.00 USD",0.53%,37,21.62%,0.309,0,,0
"20, 7.5, 95","−3,950.00 USD",−0.39%,"4,145.00 USD",0.41%,40,25.00%,0.484,0,,0
"20, 8, 105","−2,079.00 USD",−0.21%,"3,580.50 USD",0.36%,40,17.50%,0.581,0,,0
"20, 8, 115","−2,388.50 USD",−0.24%,"3,759.50 USD",0.38%,41,17.07%,0.547,0,,0
"20, 8, 125","−1,362.50 USD",−0.14%,"2,470.50 USD",0.25%,30,16.67%,0.591,0,,0
"20, 8, 135","−2,011.50 USD",−0.20%,"3,042.00 USD",0.30%,34,17.65%,0.496,0,,0
"20, 8, 145","−2,019.00 USD",−0.20%,"3,203.00 USD",0.32%,34,14.71%,0.467,0,,0
"20, 8, 25","+1,947.50 USD",+0.19%,799.00 USD,0.08%,17,35.29%,3.169,0,,0
"20, 8, 35","+1,878.50 USD",+0.19%,698.00 USD,0.07%,20,35.00%,2.922,0,,0
"20, 8, 45","+1,892.50 USD",+0.19%,776.00 USD,0.08%,22,36.36%,2.77,0,,0
"20, 8, 55","+2,270.50 USD",+0.23%,921.50 USD,0.09%,28,35.71%,2.352,0,,0
"20, 8, 65",+860.50 USD,+0.09%,"2,095.50 USD",0.21%,31,32.26%,1.278,0,,0
"20, 8, 75",+304.00 USD,+0.03%,"2,095.50 USD",0.21%,34,29.41%,1.085,0,,0
"20, 8, 85",−170.50 USD,−0.02%,"2,156.00 USD",0.22%,37,24.32%,0.958,0,,0
"20, 8, 95","−1,637.00 USD",−0.16%,"2,979.00 USD",0.30%,38,21.05%,0.648,0,,0
"20, 8.5, 105",−380.00 USD,−0.04%,"2,155.50 USD",0.22%,38,28.95%,0.905,0,,0
"20, 8.5, 115",+493.50 USD,+0.05%,"1,463.00 USD",0.15%,38,28.95%,1.158,0,,0
"20, 8.5, 125",+292.50 USD,+0.03%,"1,447.50 USD",0.14%,26,30.77%,1.142,0,,0
"20, 8.5, 135",−52.50 USD,−0.01%,"1,652.50 USD",0.17%,27,25.93%,0.978,0,,0
"20, 8.5, 145",+32.00 USD,+0.00%,"1,797.00 USD",0.18%,27,25.93%,0.922,0,,0
"20, 8.5, 25",+289.00 USD,+0.03%,"3,500.00 USD",0.35%,15,60.00%,1.247,0,,0
"20, 8.5, 35",+579.50 USD,+0.06%,"1,396.50 USD",0.14%,21,52.38%,1.637,0,,0
"20, 8.5, 45",−99.00 USD,−0.01%,"2,087.00 USD",0.21%,24,50.00%,0.949,0,,0
"20, 8.5, 55","+1,754.50 USD",+0.18%,"2,087.00 USD",0.21%,27,48.15%,1.863,0,,0
"20, 8.5, 65","+1,637.50 USD",+0.16%,"2,087.00 USD",0.21%,28,50.00%,1.756,0,,0
"20, 8.5, 75",+649.00 USD,+0.06%,"2,087.00 USD",0.21%,32,37.50%,1.218,0,,0
"20, 8.5, 85",+804.00 USD,+0.08%,"2,087.00 USD",0.21%,34,38.24%,1.267,0,,0
"20, 8.5, 95",+410.50 USD,+0.04%,"2,155.50 USD",0.22%,35,34.29%,1.122,0,,0
"20, 9, 105","−2,183.50 USD",−0.22%,"3,677.50 USD",0.37%,30,13.33%,0.521,0,,0
"20, 9, 115","−1,210.50 USD",−0.12%,"3,287.00 USD",0.33%,31,12.90%,0.677,0,,0
"20, 9, 125",+517.50 USD,+0.05%,"1,472.50 USD",0.15%,20,15.00%,1.307,0,,0
"20, 9, 135",+444.50 USD,+0.04%,"1,472.50 USD",0.15%,20,15.00%,1.253,0,,0
"20, 9, 145",+53.00 USD,+0.01%,"1,797.00 USD",0.18%,22,13.64%,0.985,0,,0
"20, 9, 25","−4,392.00 USD",−0.44%,"5,895.00 USD",0.59%,7,14.29%,0.011,0,,0
"20, 9, 35","−1,691.00 USD",−0.17%,"3,194.00 USD",0.32%,10,10.00%,0.025,0,,0
"20, 9, 45","−1,822.00 USD",−0.18%,"3,367.00 USD",0.34%,14,14.29%,0.176,0,,0
"20, 9, 55",−769.50 USD,−0.08%,"1,067.50 USD",0.11%,17,17.65%,0.381,0,,0
"20, 9, 65",−419.50 USD,−0.04%,"1,316.50 USD",0.13%,23,26.09%,0.766,0,,0
"20, 9, 75","−1,555.50 USD",−0.16%,"1,655.00 USD",0.17%,25,20.00%,0.256,0,,0
"20, 9, 85","−2,582.00 USD",−0.26%,"2,681.50 USD",0.27%,26,19.23%,0.172,0,,0
"20, 9, 95","−1,016.50 USD",−0.10%,"2,589.00 USD",0.26%,27,18.52%,0.688,0,,0
"20, 9.5, 105","−2,259.00 USD",−0.23%,"2,398.00 USD",0.24%,27,22.22%,0.18,0,,0
"20, 9.5, 115","−2,489.00 USD",−0.25%,"2,628.00 USD",0.26%,28,21.43%,0.166,0,,0
"20, 9.5, 125","−2,229.50 USD",−0.22%,"2,329.00 USD",0.23%,18,11.11%,0.03,0,,0
"20, 9.5, 135",+748.00 USD,+0.07%,"1,273.00 USD",0.13%,18,22.22%,1.366,0,,0
"20, 9.5, 145",+748.00 USD,+0.07%,"1,273.00 USD",0.13%,18,22.22%,1.366,0,,0
"20, 9.5, 25",+398.50 USD,+0.04%,"1,832.00 USD",0.18%,10,40.00%,1.783,0,,0
"20, 9.5, 35",+83.50 USD,+0.01%,865.00 USD,0.09%,11,27.27%,1.135,0,,0
"20, 9.5, 45",−76.00 USD,−0.01%,877.50 USD,0.09%,13,23.08%,0.903,0,,0
"20, 9.5, 55",−169.00 USD,−0.02%,970.50 USD,0.10%,15,26.67%,0.817,0,,0
"20, 9.5, 65",−428.50 USD,−0.04%,"1,171.00 USD",0.12%,17,23.53%,0.637,0,,0
"20, 9.5, 75",+286.00 USD,+0.03%,"1,177.50 USD",0.12%,20,25.00%,1.183,0,,0
"20, 9.5, 85",−39.50 USD,0.00%,"1,417.00 USD",0.14%,22,22.73%,0.979,0,,0
"20, 9.5, 95","−1,379.50 USD",−0.14%,"2,226.00 USD",0.22%,27,25.93%,0.461,0,,0
"25, 10, 105","−2,196.00 USD",−0.22%,"2,235.00 USD",0.22%,29,24.14%,0.129,0,,0
"25, 10, 115","−2,214.00 USD",−0.22%,"2,253.00 USD",0.23%,29,24.14%,0.129,0,,0
"25, 10, 125","−2,234.50 USD",−0.22%,"2,334.00 USD",0.23%,25,16.00%,0.086,0,,0
"25, 10, 135","−2,426.00 USD",−0.24%,"2,525.50 USD",0.25%,25,16.00%,0.08,0,,0
"25, 10, 145","−2,665.50 USD",−0.27%,"2,765.00 USD",0.28%,25,12.00%,0.067,0,,0
"25, 10, 25",−12.00 USD,0.00%,"1,240.00 USD",0.12%,16,37.50%,0.988,0,,0
"25, 10, 35","−1,069.50 USD",−0.11%,"3,518.00 USD",0.35%,21,38.10%,0.515,0,,0
"25, 10, 45",−308.00 USD,−0.03%,"1,482.00 USD",0.15%,23,39.13%,0.766,0,,0
"25, 10, 55",−435.50 USD,−0.04%,"1,609.50 USD",0.16%,26,34.62%,0.733,0,,0
"25, 10, 65","−2,435.00 USD",−0.24%,"3,966.50 USD",0.40%,27,29.63%,0.132,0,,0
"25, 10, 75","−2,640.00 USD",−0.26%,"4,102.50 USD",0.41%,28,25.00%,0.12,0,,0
"25, 10, 85","−2,710.00 USD",−0.27%,"4,172.50 USD",0.42%,28,25.00%,0.117,0,,0
"25, 10, 95","−2,848.00 USD",−0.28%,"4,310.50 USD",0.43%,28,25.00%,0.112,0,,0
"25, 10.5, 105",−379.00 USD,−0.04%,"1,768.50 USD",0.18%,29,27.59%,0.839,0,,0
"25, 10.5, 115",−462.50 USD,−0.05%,"1,768.50 USD",0.18%,29,27.59%,0.81,0,,0
"25, 10.5, 125",+14.50 USD,+0.00%,"1,740.00 USD",0.17%,22,31.82%,1.007,0,,0
"25, 10.5, 135",−48.00 USD,0.00%,"1,802.50 USD",0.18%,22,31.82%,0.976,0,,0
"25, 10.5, 145","+5,886.50 USD",+0.59%,"1,837.00 USD",0.18%,23,34.78%,3.77,0,,0
"25, 10.5, 25","+1,362.00 USD",+0.14%,753.00 USD,0.08%,12,50.00%,0.845,0,,0
"25, 10.5, 35","+1,335.50 USD",+0.13%,790.00 USD,0.08%,14,50.00%,0.776,0,,0
"25, 10.5, 45","+1,798.50 USD",+0.18%,"1,102.00 USD",0.11%,16,37.50%,0.434,0,,0
"25, 10.5, 55","+2,857.00 USD",+0.29%,917.00 USD,0.09%,18,44.44%,1.551,0,,0
"25, 10.5, 65","+3,621.00 USD",+0.36%,"1,475.50 USD",0.15%,22,40.91%,1.809,0,,0
"25, 10.5, 75","+3,099.50 USD",+0.31%,"1,505.50 USD",0.15%,25,40.00%,1.432,0,,0
"25, 10.5, 85","+2,857.50 USD",+0.29%,"1,505.50 USD",0.15%,25,36.00%,1.271,0,,0
"25, 10.5, 95","+3,086.50 USD",+0.31%,"1,505.50 USD",0.15%,26,34.62%,1.158,0,,0
"25, 11, 105","+2,758.50 USD",+0.28%,"1,773.00 USD",0.18%,19,31.58%,0.675,0,,0
"25, 11, 115","+2,689.50 USD",+0.27%,"1,924.50 USD",0.19%,19,31.58%,0.603,0,,0
"25, 11, 125","+1,603.00 USD",+0.16%,"2,160.00 USD",0.22%,15,26.67%,0.223,0,,0
"25, 11, 135","+1,469.00 USD",+0.15%,"2,168.00 USD",0.22%,15,26.67%,0.222,0,,0
"25, 11, 145","+1,351.50 USD",+0.14%,"2,301.00 USD",0.23%,15,26.67%,0.208,0,,0
"25, 11, 25",+871.00 USD,+0.09%,619.00 USD,0.06%,7,28.57%,3.787,0,,0
"25, 11, 35","+1,614.50 USD",+0.16%,619.00 USD,0.06%,11,54.55%,5.21,0,,0
"25, 11, 45","+1,294.00 USD",+0.13%,619.00 USD,0.06%,13,46.15%,2.838,0,,0
"25, 11, 55","+3,711.00 USD",+0.37%,"1,107.00 USD",0.11%,13,46.15%,2.8,0,,0
"25, 11, 65","+3,804.00 USD",+0.38%,"1,189.50 USD",0.12%,16,43.75%,1.935,0,,0
"25, 11, 75","+2,132.50 USD",+0.21%,"1,489.50 USD",0.15%,17,35.29%,0.776,0,,0
"25, 11, 85","+2,229.00 USD",+0.22%,"1,464.00 USD",0.15%,19,42.11%,0.826,0,,0
"25, 11, 95","+2,382.00 USD",+0.24%,"1,676.50 USD",0.17%,19,36.84%,0.72,0,,0
"25, 11.5, 105",−489.00 USD,−0.05%,"2,102.00 USD",0.21%,18,22.22%,0.771,0,,0
"25, 11.5, 115",−313.50 USD,−0.03%,"1,603.50 USD",0.16%,19,26.32%,0.846,0,,0
"25, 11.5, 125",+55.00 USD,+0.01%,"1,256.00 USD",0.13%,14,21.43%,1.035,0,,0
"25, 11.5, 135",−51.50 USD,−0.01%,"1,256.00 USD",0.13%,14,21.43%,0.969,0,,0
"25, 11.5, 145","−2,142.50 USD",−0.21%,"2,295.00 USD",0.23%,15,6.67%,0.01,0,,0
"25, 11.5, 25",+94.50 USD,+0.01%,"3,812.00 USD",0.38%,5,40.00%,1.126,0,,0
"25, 11.5, 35",+567.50 USD,+0.06%,"1,557.50 USD",0.16%,6,16.67%,0.008,0,,0
"25, 11.5, 45","+2,218.00 USD",+0.22%,"4,121.00 USD",0.41%,7,14.29%,0.796,0,,0
"25, 11.5, 55","+1,946.50 USD",+0.19%,"1,860.50 USD",0.19%,7,14.29%,0.574,0,,0
"25, 11.5, 65","+2,231.00 USD",+0.22%,"1,787.00 USD",0.18%,8,25.00%,0.635,0,,0
"25, 11.5, 75","+3,322.00 USD",+0.33%,"1,959.00 USD",0.20%,12,25.00%,1.534,0,,0
"25, 11.5, 85","+2,944.50 USD",+0.29%,"2,132.00 USD",0.21%,15,26.67%,1.223,0,,0
"25, 11.5, 95",−489.00 USD,−0.05%,"2,102.00 USD",0.21%,18,22.22%,0.771,0,,0
"25, 12, 105","+1,590.00 USD",+0.16%,"2,383.00 USD",0.24%,12,0.00%,0,0,,0
"25, 12, 115","+1,441.00 USD",+0.14%,"2,515.00 USD",0.25%,12,0.00%,0,0,,0
"25, 12, 125","−7,265.00 USD",−0.73%,"7,396.50 USD",0.74%,11,0.00%,0,0,,0
"25, 12, 135","−7,433.00 USD",−0.74%,"7,564.50 USD",0.76%,11,0.00%,0,0,,0
"25, 12, 145","−7,659.00 USD",−0.77%,"7,790.50 USD",0.78%,11,0.00%,0,0,,0
"25, 12, 25",−406.00 USD,−0.04%,420.50 USD,0.04%,4,0.00%,0,0,,0
"25, 12, 35",−406.00 USD,−0.04%,420.50 USD,0.04%,4,0.00%,0,0,,0
"25, 12, 45","−1,800.50 USD",−0.18%,"3,418.50 USD",0.34%,5,0.00%,0,0,,0
"25, 12, 55",−515.50 USD,−0.05%,530.00 USD,0.05%,5,0.00%,0,0,,0
"25, 12, 65","−1,002.00 USD",−0.10%,"1,016.50 USD",0.10%,8,0.00%,0,0,,0
"25, 12, 75","+1,503.00 USD",+0.15%,"1,596.50 USD",0.16%,9,0.00%,0,0,,0
"25, 12, 85","+1,500.00 USD",+0.15%,"1,627.00 USD",0.16%,9,0.00%,0,0,,0
"25, 12, 95","+1,385.50 USD",+0.14%,"2,186.00 USD",0.22%,11,0.00%,0,0,,0
"25, 12.5, 105","−1,155.50 USD",−0.12%,"1,610.50 USD",0.16%,14,21.43%,0.238,0,,0
"25, 12.5, 115","−1,220.00 USD",−0.12%,"1,675.00 USD",0.17%,14,21.43%,0.228,0,,0
"25, 12.5, 125","−7,043.50 USD",−0.70%,"7,783.50 USD",0.78%,14,21.43%,0.049,0,,0
"25, 12.5, 135","−7,093.50 USD",−0.71%,"7,783.50 USD",0.78%,14,21.43%,0.048,0,,0
"25, 12.5, 145","−7,093.50 USD",−0.71%,"7,783.50 USD",0.78%,14,21.43%,0.048,0,,0
"25, 12.5, 25",−71.00 USD,−0.01%,128.00 USD,0.01%,3,33.33%,0.38,0,,0
"25, 12.5, 35",−114.00 USD,−0.01%,164.00 USD,0.02%,5,20.00%,0.276,0,,0
"25, 12.5, 45",−140.50 USD,−0.01%,190.50 USD,0.02%,5,20.00%,0.236,0,,0
"25, 12.5, 55",−424.50 USD,−0.04%,440.50 USD,0.04%,8,25.00%,0.169,0,,0
"25, 12.5, 65",−476.50 USD,−0.05%,485.50 USD,0.05%,8,25.00%,0.138,0,,0
"25, 12.5, 75",−579.50 USD,−0.06%,594.00 USD,0.06%,9,22.22%,0.117,0,,0
"25, 12.5, 85",−759.50 USD,−0.08%,774.00 USD,0.08%,10,20.00%,0.092,0,,0
"25, 12.5, 95",−948.50 USD,−0.09%,963.00 USD,0.10%,11,18.18%,0.075,0,,0
"25, 13, 105","−10,768.50 USD",−1.08%,"11,384.00 USD",1.14%,10,30.00%,0.008,0,,0
"25, 13, 115","−10,913.50 USD",−1.09%,"11,384.00 USD",1.14%,10,10.00%,0.006,0,,0
"25, 13, 125","−7,384.00 USD",−0.74%,"7,783.50 USD",0.78%,9,11.11%,0.006,0,,0
"25, 13, 135","−6,984.50 USD",−0.70%,"7,783.50 USD",0.78%,11,9.09%,0.005,0,,0
"25, 13, 145","−7,628.00 USD",−0.76%,"7,783.50 USD",0.78%,13,7.69%,0.004,0,,0
"25, 13, 25",−32.00 USD,0.00%,63.50 USD,0.01%,3,33.33%,0.158,0,,0
"25, 13, 35",−72.00 USD,−0.01%,103.50 USD,0.01%,4,25.00%,0.077,0,,0
"25, 13, 45",−72.00 USD,−0.01%,103.50 USD,0.01%,4,25.00%,0.077,0,,0
"25, 13, 55",−282.00 USD,−0.03%,503.50 USD,0.05%,7,42.86%,0.297,0,,0
"25, 13, 65","−10,298.50 USD",−1.03%,"11,384.00 USD",1.14%,8,37.50%,0.011,0,,0
"25, 13, 75","−10,424.50 USD",−1.04%,"11,384.00 USD",1.14%,9,33.33%,0.009,0,,0
"25, 13, 85","−10,431.50 USD",−1.04%,"11,384.00 USD",1.14%,9,33.33%,0.008,0,,0
"25, 13, 95","−10,645.00 USD",−1.06%,"11,384.00 USD",1.14%,10,30.00%,0.008,0,,0
"25, 13.5, 105",−557.50 USD,−0.06%,874.50 USD,0.09%,11,18.18%,0.224,0,,0
"25, 13.5, 115",−537.50 USD,−0.05%,873.50 USD,0.09%,12,25.00%,0.3,0,,0
"25, 13.5, 125",−899.50 USD,−0.09%,954.00 USD,0.10%,8,12.50%,0.087,0,,0
"25, 13.5, 135",−912.50 USD,−0.09%,967.00 USD,0.10%,8,12.50%,0.086,0,,0
"25, 13.5, 145","−1,126.00 USD",−0.11%,"1,180.50 USD",0.12%,9,11.11%,0.071,0,,0
"25, 13.5, 25","−9,151.50 USD",−0.92%,"10,898.00 USD",1.09%,6,16.67%,0.008,0,,0
"25, 13.5, 35","+2,848.50 USD",+0.28%,"1,083.00 USD",0.11%,8,37.50%,11.851,0,,0
"25, 13.5, 45","+2,848.50 USD",+0.28%,"1,083.00 USD",0.11%,8,37.50%,11.851,0,,0
"25, 13.5, 55","+1,850.50 USD",+0.19%,874.50 USD,0.09%,9,22.22%,6.403,0,,0
"25, 13.5, 65",−405.00 USD,−0.04%,874.50 USD,0.09%,10,10.00%,0.156,0,,0
"25, 13.5, 75",−445.00 USD,−0.04%,874.50 USD,0.09%,10,10.00%,0.144,0,,0
"25, 13.5, 85",−468.50 USD,−0.05%,874.50 USD,0.09%,10,10.00%,0.138,0,,0
"25, 13.5, 95",−468.50 USD,−0.05%,874.50 USD,0.09%,10,10.00%,0.138,0,,0
"25, 14, 105","−1,644.00 USD",−0.16%,"2,048.50 USD",0.20%,18,11.11%,0.255,0,,0
"25, 14, 115","−1,684.00 USD",−0.17%,"2,088.50 USD",0.21%,18,11.11%,0.236,0,,0
"25, 14, 125","−1,042.00 USD",−0.10%,"1,446.50 USD",0.14%,14,14.29%,0.334,0,,0
"25, 14, 135","−1,143.00 USD",−0.11%,"1,547.50 USD",0.15%,15,20.00%,0.347,0,,0
"25, 14, 145","−1,217.50 USD",−0.12%,"1,622.00 USD",0.16%,15,13.33%,0.325,0,,0
"25, 14, 25","+1,230.50 USD",+0.12%,"1,478.00 USD",0.15%,4,50.00%,1.83,0,,0
"25, 14, 35","+3,288.50 USD",+0.33%,"1,099.50 USD",0.11%,7,57.14%,5.564,0,,0
"25, 14, 45",+138.50 USD,+0.01%,"1,324.50 USD",0.13%,10,30.00%,1.109,0,,0
"25, 14, 55",+24.50 USD,+0.00%,"1,338.00 USD",0.13%,11,27.27%,1.018,0,,0
"25, 14, 65",−16.00 USD,0.00%,"1,378.50 USD",0.14%,11,27.27%,0.989,0,,0
"25, 14, 75","−1,483.50 USD",−0.15%,"1,888.00 USD",0.19%,16,18.75%,0.194,0,,0
"25, 14, 85","−1,664.00 USD",−0.17%,"2,068.50 USD",0.21%,17,17.65%,0.177,0,,0
"25, 14, 95","−1,879.00 USD",−0.19%,"2,283.50 USD",0.23%,18,11.11%,0.148,0,,0
"25, 14.5, 105","−1,059.00 USD",−0.11%,"1,463.50 USD",0.15%,14,21.43%,0.368,0,,0
"25, 14.5, 115","−1,140.00 USD",−0.11%,"1,544.50 USD",0.15%,14,21.43%,0.329,0,,0
"25, 14.5, 125","−1,016.50 USD",−0.10%,"1,421.00 USD",0.14%,11,18.18%,0.281,0,,0
"25, 14.5, 135","−1,016.50 USD",−0.10%,"1,421.00 USD",0.14%,11,18.18%,0.281,0,,0
"25, 14.5, 145","−1,321.50 USD",−0.13%,"1,726.00 USD",0.17%,13,15.38%,0.231,0,,0
"25, 14.5, 25",−209.50 USD,−0.02%,453.00 USD,0.05%,4,0.00%,0,0,,0
"25, 14.5, 35",−209.50 USD,−0.02%,453.00 USD,0.05%,4,0.00%,0,0,,0
"25, 14.5, 45",−341.50 USD,−0.03%,546.00 USD,0.05%,6,0.00%,0,0,,0
