PARAMETERS,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES
"45, 15.5, 125","+1,891.00 USD",+0.19%,642.00 USD,0.06%,12,33.33%,2.936,0,,0
"45, 15.5, 135","+1,838.50 USD",+0.18%,700.50 USD,0.07%,13,38.46%,2.775,0,,0
"45, 15.5, 145","+1,962.00 USD",+0.20%,592.00 USD,0.06%,14,50.00%,2.829,0,,0
"45, 15.5, 25",+171.00 USD,+0.02%,204.50 USD,0.02%,2,50.00%,1.667,0,,0
"45, 15.5, 35","+1,465.00 USD",+0.15%,"1,032.50 USD",0.10%,5,60.00%,20.74,0,,0
"45, 15.5, 45",+928.50 USD,+0.09%,"1,303.50 USD",0.13%,7,42.86%,3.676,0,,0
"45, 15.5, 55","+1,650.00 USD",+0.17%,470.00 USD,0.05%,10,30.00%,4.113,0,,0
"45, 15.5, 65","+3,069.00 USD",+0.31%,"1,090.50 USD",0.11%,12,33.33%,5.615,0,,0
"45, 15.5, 75","+3,263.00 USD",+0.33%,"1,090.50 USD",0.11%,13,30.77%,4.64,0,,0
"45, 15.5, 85","+3,256.50 USD",+0.33%,"1,090.50 USD",0.11%,13,30.77%,4.606,0,,0
"45, 15.5, 95","+3,156.50 USD",+0.32%,"1,121.00 USD",0.11%,13,30.77%,4.246,0,,0
"45, 16, 105","+3,524.50 USD",+0.35%,"1,182.00 USD",0.12%,10,40.00%,4.871,0,,0
"45, 16, 115","+3,493.00 USD",+0.35%,"1,182.00 USD",0.12%,11,36.36%,4.677,0,,0
"45, 16, 125",+484.50 USD,+0.05%,"1,404.50 USD",0.14%,8,25.00%,1.672,0,,0
"45, 16, 135","+3,547.50 USD",+0.35%,"1,182.00 USD",0.12%,9,33.33%,5.92,0,,0
"45, 16, 145","+3,364.00 USD",+0.34%,"1,182.00 USD",0.12%,10,30.00%,4.719,0,,0
"45, 16, 25","+5,996.50 USD",+0.60%,124.00 USD,0.01%,1,0.00%,0,0,,0
"45, 16, 35","+5,945.50 USD",+0.59%,124.00 USD,0.01%,1,0.00%,0,0,,0
"45, 16, 45","+2,820.50 USD",+0.28%,426.00 USD,0.04%,4,25.00%,8.592,0,,0
"45, 16, 55","+2,773.00 USD",+0.28%,434.50 USD,0.04%,4,25.00%,7.618,0,,0
"45, 16, 65","+1,699.00 USD",+0.17%,"1,778.50 USD",0.18%,5,40.00%,7.477,0,,0
"45, 16, 75","+3,754.00 USD",+0.38%,"1,182.00 USD",0.12%,8,50.00%,6.332,0,,0
"45, 16, 85","+3,749.00 USD",+0.37%,"1,182.00 USD",0.12%,9,44.44%,6.218,0,,0
"45, 16, 95","+3,606.00 USD",+0.36%,"1,182.00 USD",0.12%,10,40.00%,5.186,0,,0
"45, 16.5, 105","+1,148.50 USD",+0.11%,434.00 USD,0.04%,9,33.33%,2.779,0,,0
"45, 16.5, 115","+2,709.00 USD",+0.27%,"1,182.00 USD",0.12%,11,36.36%,3.924,0,,0
"45, 16.5, 125","+3,014.00 USD",+0.30%,"1,182.00 USD",0.12%,12,50.00%,5.242,0,,0
"45, 16.5, 135","+3,014.00 USD",+0.30%,"1,182.00 USD",0.12%,12,50.00%,5.242,0,,0
"45, 16.5, 145","+2,792.00 USD",+0.28%,"1,182.00 USD",0.12%,13,38.46%,4.267,0,,0
